首 11	中 9	末 10
42470F0C	72D6A6A3	B0952A16
42470F0C	33CD0640	4B494D38
42470F0C	AD33C532	6DA92C09
42470F0C	DAD0FB6B	EACB56EC
42470F0C	097EEC57	7549F784
42470F0C	4DFFA98D	86AA7A62
42470F0C	CBC4C256	CC0C8146
42470F0C	2DBB06E2	BB3AE850
42470F0C	FF6C5EF1	8EAD5CBC
42470F0C	8DB06D68	8EEAA1D9
42470F0C	19C48C96	9EBF451E
42470F0C	C2BCBC21	0AD5C816
42470F0C	5184E867	3EC78BE2
42470F0C	7E0441F0	3F79E06A
42470F0C	84F2C497	D98AC239
42470F0C	5E27B352	92908DB3
42470F0C	A5AA92B3	717D8334
42470F0C	9CFF6C61	5490D96B
42470F0C	C0788769	42AF89A9
42470F0C	230EAFEE	27289FF7
42470F0C	5F36A6DA	9773F979
42470F0C	C669AFAA	3BCF183F
42470F0C	E232D91C	0820AB01
42470F0C	591435A7	BF5FD9BB
42470F0C	08353AF7	698C10E9
42470F0C	4C74D702	01E3A291
42470F0C	33F5345A	2D2AFC85
42470F0C	12849501	9631B4B3
42470F0C	8DBD4843	6A348BC3
42470F0C	8BF7B000	E91ABDFD
42470F0C	54FFAC2B	9A3D9CA6
42470F0C	D28B07D8	C46BF7AF
42470F0C	D5E923ED	C2C5F434
42470F0C	43F18A68	A9A86B5E
42470F0C	0E776A3C	93E95463
42470F0C	146D06B8	E88561CB
42470F0C	9970246F	F730F016
42470F0C	6244BDE3	0AC1DE58
42470F0C	B3B7832A	14C8FB2B
42470F0C	E1042C6D	BF808315
42470F0C	E7AE01C7	2A19B287
42470F0C	9B316C97	E3494E3E
42470F0C	74EA47E0	59E77015
42470F0C	C36BEB72	E46AAD53
42470F0C	6C7D3A08	0D4A7653
42470F0C	5156E27A	3D817A45
42470F0C	D94FB7AC	8F460FE7
42470F0C	495ABFAB	0DD1FFF5
42470F0C	44CD3A7D	378E99D3
42470F0C	C6F6E9FA	D9F342A7
42470F0C	67C5362A	A7C2CF42
42470F0C	A05B1CD7	661FC790
42470F0C	BA8FF3F7	8D34311C
42470F0C	D27C1BD7	8A3A0014
42470F0C	42556488	E4CEDE94
42470F0C	347CDFD3	068A6107
42470F0C	3E897E30	3A7B04BA
42470F0C	46383AB1	75197CFB
42470F0C	35314373	979C0674
42470F0C	DD7D43F5	32FA40E0
42470F0C	3C8B4120	39E79C05
42470F0C	E83F713B	C5A8D9C3
42470F0C	ABAC6263	2ECABD3D
42470F0C	69E3ABEA	8B817406
42470F0C	01A0711E	0C4454CE
42470F0C	6999CC29	1D9BA091
42470F0C	727C9292	7FF4A98A
42470F0C	95538942	E821120C
42470F0C	807CABCF	426DF90B
42470F0C	2444AA50	807A8199
42470F0C	DA8DF2E2	925B246B
42470F0C	8D8D7E7A	2634C814
42470F0C	319E8922	6B81B3E7
42470F0C	9940DBAD	47F871BC
42470F0C	3C5B8F18	34DBF00F
42470F0C	5073412D	AC813EDB
42470F0C	DCAC404B	F788BA99
42470F0C	878578D5	7AE8A439
42470F0C	113A5D78	6DE665B9
42470F0C	C7264B52	0944DF40
42470F0C	6FAA9A31	403838D5
42470F0C	559166DA	2B4C4BEA
42470F0C	2A2FDF51	0832AB8D
42470F0C	BCC27910	7A394FC3
42470F0C	96D835BE	73B8CE83
42470F0C	AA31F127	5871CE88
42470F0C	F4786C7D	88A5364C
42470F0C	406C08C9	22FC99C5
42470F0C	6C12FABF	D06C574C
42470F0C	1F15B820	C7ED6C06
42470F0C	582322F0	05493AE2
42470F0C	6C530FF1	694924F9
42470F0C	03AF1ADB	025B8DD7
42470F0C	CBB8D4B7	3009582D
42470F0C	C257D575	9450E0EC
42470F0C	0394CB2F	C027BB65
42470F0C	05B8DDEE	4589A722
42470F0C	42B7B162	5B6B6546
42470F0C	F9F14742	3C5A0CB6
42470F0C	57DF2262	9E9B13DA
42470F0C	FF5B6AE8	A9C33D24
42470F0C	FC195C51	DC5BFB82
42470F0C	7BF5F14C	822E7033
42470F0C	D83BB5DD	36565D19
42470F0C	4F01D55A	508EC9C2
42470F0C	3328CE1D	CF8CCA95
42470F0C	3C283729	6289EDFF
42470F0C	2FBCCC0A	2FBC3433
42470F0C	7C115EC8	94E08160
42470F0C	FE495077	BA9599EE
42470F0C	85333FEA	DEE5DD4B
42470F0C	A95C3998	5E95109B
42470F0C	468929B2	113F6F75
42470F0C	A363CD6C	74B5B071
42470F0C	0534943D	870AB6A1
42470F0C	B07852C0	A51A7CEF
42470F0C	1E5637E0	07DB6383
42470F0C	D6722BC5	6695A732
42470F0C	97F2F389	FC8B582A
42470F0C	EF5C7851	340D62F7
42470F0C	5073162D	BAB21264
42470F0C	8AB946FD	7324DBAF
42470F0C	1C4514B8	73CF3CB8
42470F0C	35DB6434	1F7ACC6E
42470F0C	FE5502A8	633F00BE
42470F0C	FE9F57BF	75EEC5E9
42470F0C	B63070B3	8DCB0433
42470F0C	A5A83C50	C3EB6B45
42470F0C	3B688738	0EBB3BD7
42470F0C	F240FCC8	1F1749FD
42470F0C	7398060B	74DE39B4
42470F0C	06B865E8	8AC3AF7D
42470F0C	54D5675C	DC8CE14C
42470F0C	F1C008B4	5AAB213A
42470F0C	EAE38B82	72BE424E
42470F0C	D27A52E6	B95555C9
42470F0C	D27469BB	4C51140C
42470F0C	05BD35CA	CA31291F
42470F0C	40DCFBCD	529A1047
42470F0C	DF42A49C	8A2DD380
42470F0C	20B55421	004B47F0
42470F0C	BC49A843	2537BE7E
42470F0C	F410903E	8EE4016F
42470F0C	DF0C467D	7ADACC7D
42470F0C	8CF3BF1F	A1EB983D
42470F0C	477DD983	DDAE54ED
42470F0C	5FD60641	C94C2DEA
42470F0C	31F1626D	B59842EB
42470F0C	E15B8601	89D78EF3
42470F0C	4F38AF94	C9F7F6CD
42470F0C	89102D50	755EA38D
42470F0C	E6B080CB	8E4D6EA8
42470F0C	F4905177	10CCBFD4
42470F0C	6E70F893	AEAA2A7B
42470F0C	EBC17C7B	715425D1
42470F0C	0ADE2F3D	A963A1A1
42470F0C	632D1708	DD9A9088
42470F0C	230D1304	27373625
42470F0C	F80B8C2E	05CF76EB
42470F0C	40BDF2FE	61BC3F02
42470F0C	9DA5B4CF	2E4FE492
42470F0C	340DF680	1A01F9BA
42470F0C	13E59762	382188D7
42470F0C	7E56F1ED	B24EDE14
42470F0C	2D6D8E89	8FC2CA1B
42470F0C	564FA09A	5C54483B
42470F0C	CFED3FC7	97AA1B32
42470F0C	D037BCA9	01179588
42470F0C	C5189E24	AB5B7E8F
42470F0C	91D728D3	16A9C847
42470F0C	6B0C13D6	C79D52D1
42470F0C	8F505F31	DF63D047
42470F0C	C1453DBB	7CBED1C6
42470F0C	AD98FC4A	FD826436
42470F0C	7ED630A4	2C6660AF
42470F0C	C558C818	F141E628
42470F0C	48A53F26	F8437059
42470F0C	B991088D	2025408E
42470F0C	95B6CD75	2A40F243
42470F0C	A284D6CD	33D82AFE
42470F0C	04810C70	A56209E0
42470F0C	BE7F8178	4F4BB89A
42470F0C	D4361539	B05E0D5B
42470F0C	45E52FFC	54FA8E85
42470F0C	5986AEB2	5BBDFC78
42470F0C	C3169DAD	FE9C4789
42470F0C	960C6101	A1AC76AB
42470F0C	42D3C2DD	B919E4A3
42470F0C	6B7961DE	EEAF6682
42470F0C	DBEA9BCE	4BA352DC
42470F0C	D40AB713	F011721A
42470F0C	1E5FA089	9B9278E5
42470F0C	E72DF180	1D3DEFFD
42470F0C	DD01432A	671F10FB
42470F0C	DA701F86	E540E746
42470F0C	668FBB96	BA38967C
42470F0C	0B435E76	3A1320F4
42470F0C	8D657669	01406E33
42470F0C	306109AF	9E133C4B
42470F0C	0E311F03	5FD7C026
42470F0C	21158222	805B2878
42470F0C	3E44AF2E	E1C3B27D
42470F0C	C8F1C70D	3BAAFE32
42470F0C	178FDC33	8754601B
42470F0C	A0D98E3E	58950934
42470F0C	6B10B163	4E049CA2
42470F0C	C3696FC4	1E1E0013
42470F0C	66CEBE65	EEE326DA
42470F0C	8F59CFE5	5C43A661
42470F0C	FDCBA07C	F47539B9
42470F0C	A89C1065	49A46FC9
42470F0C	5C77FFE7	0050DF32
42470F0C	0F51CD7C	14F8DC83
42470F0C	72248FFE	6F630021
42470F0C	B0E8EBA8	AC6DFA5C
42470F0C	67E7550E	3FC9B4A2
42470F0C	98E83F7E	4BDB629C
42470F0C	E828DE67	2BE3CA0A
42470F0C	72898CF6	74718E4D
42470F0C	A16FDB9F	9024B876
42470F0C	41FBC9F4	937F311A
42470F0C	A853E2A7	2E680FD2
42470F0C	F8D3FB32	7967D438
42470F0C	BDB0DFC5	1CBD6DF1
42470F0C	68EEFF56	0D8711AE
42470F0C	CD93FB80	20A2C724
42470F0C	23F2C135	BCBCB07A
42470F0C	DD26DA43	DF68A06B
42470F0C	8100C449	77244153
42470F0C	BCA90979	2AE91F41
42470F0C	625EE0AD	E4D46289
42470F0C	6FC9657B	DE8B04AF
42470F0C	4E729137	734189CE
42470F0C	3EB43AD6	9D316D2B
42470F0C	8E73E19E	D618F415
42470F0C	1917B535	D6D0F3BA
42470F0C	89936E08	E536D8CA
42470F0C	68DE81F8	07BA60F6
42470F0C	F27FD369	582824B1
42470F0C	B11DE1DC	D71D44BA
42470F0C	D31BA81F	ECE2100F
42470F0C	DC377D5A	9270DF6D
42470F0C	D337846E	3F75F807
42470F0C	3EB71B02	D0CED31B
42470F0C	F3D409F5	53C6771F
42470F0C	0A6C0DEB	C3B82550
42470F0C	8BD67D59	D04F96A8
42470F0C	C2CA406D	94AE87A1
42470F0C	65BA3492	F6FABE1C
42470F0C	81B4FB99	8B011944
42470F0C	F28CE3D5	93379C7D
42470F0C	1DE33C13	D10B089A
42470F0C	5AB4C607	22D9D124
42470F0C	827D6342	09BCCB5D
42470F0C	585030AB	E454BBD9
42470F0C	69FBEBAA	64F75A3F
42470F0C	B302B01E	FC7AFDBD
42470F0C	4DCBE8AC	EE5B584F
42470F0C	501EC1DB	9C687720
42470F0C	2C2620A3	295BD573
42470F0C	263BF21A	2287678B
42470F0C	CCA5A3B8	77D9B7C8
42470F0C	F30E5198	29887165
42470F0C	69FD80E5	131F10EC
42470F0C	663AB9CF	4FD9CBBB
42470F0C	17625E38	2FC28395
42470F0C	D49D9D3C	7CDD9F92
42470F0C	D546EC3A	6B1B59BD
42470F0C	1303B7C1	BD009740
42470F0C	0202BC9D	917EF8BF
42470F0C	B8CD501B	81E4B673
42470F0C	7770B4DE	0F0E8F65
42470F0C	0E8C6CFF	D17A9057
42470F0C	C518773B	EB6B935A
42470F0C	A82D2ADF	7133E84C
42470F0C	44C4ADEA	A5423E9F
42470F0C	2608B13E	886CAF7D
42470F0C	548483ED	43EE22F4
42470F0C	B2EAB35D	463848BB
42470F0C	91C09947	F7880C38
42470F0C	551C8503	43CDC24C
42470F0C	847D471F	F99B2030
42470F0C	9EE4E48A	F051B1EE
42470F0C	492222B0	96F0AAA6
42470F0C	1582DC4F	67BB01F5
42470F0C	844E29D3	04FBC0B7
42470F0C	F69A6BEF	7FF03064
42470F0C	0395AFB8	2E75F8C3
42470F0C	A25BE645	3706C769
42470F0C	B6B1E6BF	B1E95A4D
42470F0C	BD6A399E	83B882FB
42470F0C	AB64CFC8	C3DA7522
42470F0C	4505F57D	5FC4027C
42470F0C	C1A7D919	773CF9D1
42470F0C	4E685270	63168779
42470F0C	117C3BA6	ECB5E907
42470F0C	49285008	444496F0
42470F0C	305F264B	6D159D7D
42470F0C	859033F9	D08AF4DB
42470F0C	C4BAF294	D1E56C43
42470F0C	E49E9681	A36CA377
42470F0C	E3EFCA2D	213354CA
42470F0C	EFFF864C	9CAB90C8
42470F0C	1769FC90	02757F8C
42470F0C	3477BBE4	D04034B8
42470F0C	A3F7148F	BB0E4B6A
42470F0C	7AD4A142	7D1E688A
42470F0C	4AA40B45	EA7B4F43
42470F0C	D7F9E1E2	4EDBA475
42470F0C	F8DEC45D	33069117
42470F0C	71CE4A64	68427D32
42470F0C	64E168E9	C20E9635
42470F0C	0BFB0A9E	348BB019
42470F0C	6E55327F	1F0B2260
42470F0C	864933B3	71A81418
42470F0C	063C8E02	C511A6D3
42470F0C	3D1ED9DB	6111BA6C
42470F0C	0C7F57CD	F7639EDD
42470F0C	E40236C5	A8B627FF
42470F0C	8C3B8BF2	B969D3A0
42470F0C	EB5E481A	CA0C7D1C
42470F0C	98935F92	CB5C8301
42470F0C	EA4F6C0B	CB1B7E64
42470F0C	CCE292F4	E94D4F83
42470F0C	3FE0F721	5132E85C
42470F0C	C69C9D75	22993E81
42470F0C	8AA56E38	FF8F1A95
42470F0C	783D819E	B1C2AA8D
42470F0C	2E654B8B	9B6A5D09
42470F0C	F9AC17FA	1D0A601A
42470F0C	42B88A7A	1A56E8F9
42470F0C	9854ED94	D0B35573
42470F0C	FFD7667B	61FF6D4F
42470F0C	28FB5DE2	3098DAB1
42470F0C	28A9DE0E	559DFF7F
42470F0C	D1F9982B	F5A1C1AA
42470F0C	160450B4	ABCA1300
42470F0C	385F8825	BDB2BEA7
42470F0C	B615793C	87F08CD6
42470F0C	F10FCF9D	96C3323A
42470F0C	AFFF8D9E	01112418
42470F0C	EE9E4636	7F312D40
42470F0C	20F0A250	9D51DFCF
42470F0C	20E15654	EFB1DC96
42470F0C	4FE84CBA	9DC50E9C
42470F0C	FD8C867E	2233D959
42470F0C	DC7405DA	981C72AF
42470F0C	6C09F932	DBCBC445
42470F0C	63090006	76CEE32F
42470F0C	88BDF9D5	ABA68814
42470F0C	1DD9A012	06659D3B
42470F0C	215386E9	B21A4748
42470F0C	9C057AC3	484C30FE
42470F0C	F63363D6	E5CCC729
42470F0C	75B01C6F	DC7F1988
42470F0C	2088C68E	A2B33AB8
42470F0C	99ED50B1	AF227C15
42470F0C	B856A4FD	02E8F174
42470F0C	F4E0ADEE	F1E0BDE9
42470F0C	8795F917	0B375F82
42470F0C	20268B93	E0F9210E
42470F0C	2F93A4DF	51692378
42470F0C	634DEA4A	F087C363
42470F0C	4AC0E25F	18C3C793
42470F0C	1BFA0C7F	34C5338C
42470F0C	E115E4F5	DEF2DBED
42470F0C	479D329E	344D64E2
42470F0C	EA1E139B	BC2609D1
42470F0C	8E69D6E1	7671AAF8
42470F0C	E231822F	F56C4A72
42470F0C	461F4928	723A4B87
42470F0C	7F59C158	8BF747A3
42470F0C	29A2A94C	A00D911C
42470F0C	0DC8BE74	6951DD94
42470F0C	725A1AEF	9ED76E24
42470F0C	7F36ABA0	48EA32E3
42470F0C	9292B035	0D8D8343
42470F0C	7B574259	DA282636
42470F0C	A274F794	1C3805D6
42470F0C	5D0EF365	11FC7415
42470F0C	38A6817C	B434AA1F
42470F0C	DB315EDB	2303343D
42470F0C	F65AA695	ADB5861D
42470F0C	2D0EBA53	EA48E31D
42470F0C	CDDB534D	08E7BB99
42470F0C	484D7CB3	68EB32E2
42470F0C	FFEA0168	8BACFD65
42470F0C	E9C462B4	439DF653
42470F0C	1C30927A	FE7A0415
42470F0C	9754A5FD	6E43AB3F
42470F0C	89449CCB	C266F971
42470F0C	EB88801F	EF486893
42470F0C	7D2651B6	8AA6AA4A
42470F0C	F08433B2	F071C8D1
42470F0C	17208600	908167E8
42470F0C	41F2C0BE	A90B0B03
42470F0C	2FEAFE41	DA68DA71
42470F0C	D444D5E7	A7342704
42470F0C	62C9F6EC	6F338804
42470F0C	BBE8CFBC	5F325C9B
42470F0C	EFD4D43B	708619D9
42470F0C	8BF31E30	29C56841
42470F0C	C2AED871	8CD0A8A0
42470F0C	CF8082FE	F1892060
42470F0C	104A634A	ED34B6D8
42470F0C	71C8FEE7	B6975726
42470F0C	1A09BA85	DF468ED6
42470F0C	15F27728	9E21935D
42470F0C	66000529	CF78CAB1
42470F0C	85F438EC	C7F98EEB
42470F0C	5991B7F0	B7EFE7FD
42470F0C	C94C667D	D5B825C7
42470F0C	BA8171F5	D4E8DBDA
42470F0C	60165311	6C103D17
42470F0C	18F5947C	46776098
42470F0C	6DC2A12F	41AA7DA6
42470F0C	73C35347	C0D13533
42470F0C	004B79DF	582CA1CA
42470F0C	1EBF8473	C031927B
42470F0C	EBF337CC	86517C4B
42470F0C	D8DA4A02	9E79A069
42470F0C	32ECC867	0566E437
42470F0C	1CED0AF3	083FA535
42470F0C	DD8317A1	475A70D0
42470F0C	B2D88EA3	502B8714
42470F0C	26663A4A	56AFA684
42470F0C	306475E7	4D0945BA
42470F0C	4DE438A1	2FF4E23C
42470F0C	CA0895BC	7181698D
42470F0C	F35D6B6E	546C33D2
42470F0C	C6CD4393	5D2C2A44
42470F0C	737843FA	9C85BD3A
42470F0C	6D79B192	1DFEF5AF
42470F0C	841BCFD6	B6380E30
42470F0C	8759F96F	C3A0C896
42470F0C	F1204D45	B2F0A5B4
42470F0C	9DE105F5	A356EEAA
42470F0C	BB97C04D	0A75F7D1
42470F0C	4C0143A5	39AE3FFF
42470F0C	471F6EE6	54AB914B
42470F0C	06FD7601	B5043BFB
42470F0C	1E56A9C3	A1E642FC
42470F0C	0005D847	45982FA7
42470F0C	A9527822	1B220E1D
42470F0C	12FC2475	4939CFAA
42470F0C	434BC683	193AA7A4
42470F0C	1D738694	2718E410
42470F0C	4F835E3B	9BB5BAB9
42470F0C	2BE56F45	23021AC9
42470F0C	073E75CA	5E88B908
42470F0C	92685D36	4368567E
42470F0C	3C5B7BD2	905CFCF1
42470F0C	CA80649A	329153AC
42470F0C	B6B885E2	87A2F1FF
42470F0C	08AF5FC4	42FC4500
42470F0C	F8E137F5	7A1F65BC
42470F0C	90888B88	A005E10F
42470F0C	5E1F92DB	4B227150
42470F0C	636E50AC	60C891E3
42470F0C	159271B9	13B9A9BB
42470F0C	4CDF98B5	9BC505DD
42470F0C	A2C9B6BD	2B6AF9FE
42470F0C	144495B6	E36D56FE
42470F0C	0D500FC0	4D368D4D
42470F0C	CBAF95EC	CE6A0AE4
42470F0C	9DA37EA1	0AE75000
42470F0C	25CA8F4B	7794A036
42470F0C	4D0E9B0B	5EB7FFA4
42470F0C	2214F97C	A832D988
42470F0C	47654EA7	9AB2F22E
42470F0C	BB4533CB	0A2D00A9
42470F0C	374D1B24	69BEEDDD
42470F0C	32A00CD7	1089EAE8
42470F0C	0AE4D614	3473B3CF
42470F0C	CC70D1C4	0B0441F5
42470F0C	30D5C10D	621D9FAA
42470F0C	4CBFA399	B22B1837
42470F0C	0FF68DFA	81F94857
42470F0C	DF6023F0	F8913FD3
42470F0C	3D2414B8	0644AEB5
42470F0C	1EBACA13	4F6640FA
42470F0C	852690E2	C274EFCD
42470F0C	BCF066E1	312671C4
42470F0C	6181D7C6	69564E38
42470F0C	D286ACAA	CB23ABEA
42470F0C	3F22B73F	8E441A4A
42470F0C	1FE5BE5D	482B0FEE
42470F0C	C762F9F9	93B90A6A
42470F0C	7EB3733B	63D222D6
42470F0C	50E8ABAA	75AA8F71
42470F0C	5B33748B	47FB57C7
42470F0C	8DF64F2F	B179DC4F
42470F0C	0FA8E324	142C4C6F
42470F0C	6DA7A11D	B5A7817C
42470F0C	058FE82E	D698767A
42470F0C	8D313FEB	40EDFF6F
42470F0C	8231C6DF	EDE8D805
42470F0C	05EC0A4C	492EAC02
42470F0C	DCB783C9	B5E37155
42470F0C	5BFF1A62	35A47932
42470F0C	8788D9E4	9503CE41
42470F0C	5D07B424	C5386D6E
42470F0C	4C06BF78	E9460291
42470F0C	A47BDE70	B693BBB3
42470F0C	D743C63C	AEA53E8A
42470F0C	C9AB5A9D	A34A3708
42470F0C	4382F1BA	A265FF51
42470F0C	24643A83	07BF95BB
42470F0C	9CB9D794	87360B9C
42470F0C	3B677C2F	064AEEAD
42470F0C	25865BAE	9186A194
42470F0C	3F779305	334E26B6
42470F0C	F3711131	D727D045
42470F0C	A91D2CE6	B57560FD
42470F0C	28384008	B9FEA2FB
42470F0C	E9C8164F	51D106AB
42470F0C	8D16FE14	FDA5543F
42470F0C	C81D0F3C	6BFB864A
42470F0C	2A4CE259	9AFF6BA4
42470F0C	450C7267	723365F0
42470F0C	FFB29832	C56FF7F2
42470F0C	EDFD1217	9F9CE811
42470F0C	F190A804	65DFDB29
42470F0C	6F50136C	A88F8BBB
42470F0C	95F69741	85B9D904
42470F0C	526E1F08	CF445978
42470F0C	719732B2	3B5F0B1C
42470F0C	FB903742	47277E6F
42470F0C	95648F50	37686037
42470F0C	1284958D	6A085D3C
42470F0C	94FC89BE	374B808F
42470F0C	FDEB4A4B	2834C9DB
42470F0C	DD302224	7BA9E64C
42470F0C	8EF20D08	593EFB00
42470F0C	7F854D4B	96BDED40
42470F0C	4262629A	3B87ACAF
42470F0C	A8422A67	E5D99196
42470F0C	9F9B6D6A	DE428203
42470F0C	DE80CD89	259EE52D
42470F0C	14284205	718EFFC0
42470F0C	63C7CB9C	F5F9339F
42470F0C	7DDB7A30	0577CEE9
42470F0C	6EC4102B	E0D91A18
42470F0C	297D048B	F0B885CF
42470F0C	406823EF	E451F8D6
42470F0C	A486390D	8F1D5822
42470F0C	336F6170	F3D0C39C
42470F0C	94B871EB	E88F6016
42470F0C	4D3E2CDF	A1852EBE
42470F0C	E4698CBA	FF3F0F04
42470F0C	D50802AC	694D2BB5
42470F0C	585279BA	1C2CE32E
42470F0C	A0310CA2	9B94774E
42470F0C	646E276D	A6D064EE
42470F0C	2E4D9DF3	337AD935
42470F0C	8E02BF0D	26EECC15
42470F0C	03E0876A	A80818F8
42470F0C	3BFCCB31	61C25A05
42470F0C	FA92D663	2EA78FE0
42470F0C	4681213B	6312F413
42470F0C	9D87BE11	41EAB4DD
42470F0C	3AEB43AF	B324738E
42470F0C	E0554FE1	19AC2F17
42470F0C	85E830C3	E96350CA
42470F0C	2D64E1A0	A01FB75F
42470F0C	DEC1085D	64034E6A
42470F0C	55D30795	645D47B0
42470F0C	8063C9B2	96D47D86
42470F0C	0C6DBB73	85C061FE
42470F0C	FC7F6BF3	2D222549
42470F0C	8279411C	862CD979
42470F0C	9EEFCF96	900DD0A0
42470F0C	A228A5D8	C6936D81
42470F0C	4E471986	02D59687
42470F0C	F488F500	124FD84B
42470F0C	748F5ED7	4BA0B3A1
42470F0C	BF9B8A61	B748AC4A
42470F0C	1A978864	3DABA60E
42470F0C	A1D90FE1	21D6C248
42470F0C	C5AC4606	1D90961E
42470F0C	75A6F6C5	77C9B049
42470F0C	89EBAA0C	7643A0D1
42470F0C	2A5C71A7	1BD9985E
42470F0C	02088429	124AADFE
42470F0C	9F01A79A	5DA72F75
42470F0C	13AC81FB	EC97C9C9
42470F0C	CE569EBE	43C2E28A
42470F0C	70C9FA4F	3B294725
42470F0C	15818AA9	D28043DC
42470F0C	E4482B2F	6DA4C144
42470F0C	62234F85	B416E8D1
42470F0C	C3B431F6	5590AB3F
42470F0C	B337A707	224D253E
42470F0C	E7AC30A8	719A3E96
42470F0C	BCBCF051	786D16EB
42470F0C	34B15358	79AD324C
42470F0C	43AF1360	9CE53E3B
42470F0C	5D5BEECC	04F80D8A
42470F0C	E29CCCB0	E2D4B3DE
42470F0C	A1AC7DE9	08E4F61B
42470F0C	2AF92BE0	626EA687
42470F0C	7B7A1A99	096EBC7E
42470F0C	02D8F8AF	E9DB9265
42470F0C	E24E6659	1C91EC76
42470F0C	FCBA9BF5	848CDFC7
42470F0C	05F9AB72	F890B769
42470F0C	1B6E8BE6	A0854722
42470F0C	78F7527C	443951C2
42470F0C	EF564A54	43235D2F
42470F0C	06343410	E8E5A6B0
42470F0C	6E5F0ACB	9C3F7721
42470F0C	3D09AC90	CB01F893
42470F0C	F8BC97D7	1B30D2AA
42470F0C	BEE1A8A2	13203521
42470F0C	9AC0B9D7	B6D55288
42470F0C	EB985E20	D6CE1AA6
42470F0C	CA4FE140	F5E65CB7
